date,race,count,frac,Race
2021-02-21,OTHER/MULTIRACIAL,107491,0.3958852973221925,OTHER/MULTIRACIAL
2021-02-21,UNKNOWN,125385,0,UNKNOWN
2021-02-21,WHITE,792189,0.14704594730370146,Caucasian/White
2021-02-22,ASIAN,12612,0.1037814992937641,Asian
2021-02-22,BLACK OR AFRICAN AMERICAN,75627,0.06497957788622828,Black/AfAm
2021-02-22,OTHER/MULTIRACIAL,109110,0.4018480132366843,OTHER/MULTIRACIAL
2021-02-22,UNKNOWN,126767,0,UNKNOWN
2021-02-22,WHITE,807573,0.14990152198767226,Caucasian/White
2021-02-23,ASIAN,12987,0.10686729553822663,Asian
2021-02-23,BLACK OR AFRICAN AMERICAN,78801,0.0677067147581244,Black/AfAm
2021-02-23,OTHER/MULTIRACIAL,112424,0.41405335019815775,OTHER/MULTIRACIAL
2021-02-23,UNKNOWN,128022,0,UNKNOWN
2021-02-23,WHITE,833392,0.15469403906810922,Caucasian/White
2021-02-24,ASIAN,13458,0.11074305562127158,Asian
2021-02-24,BLACK OR AFRICAN AMERICAN,82044,0.07049313721419219,Black/AfAm
2021-02-24,OTHER/MULTIRACIAL,116192,0.4279307520300322,OTHER/MULTIRACIAL
2021-02-24,UNKNOWN,129471,0,UNKNOWN
2021-02-24,WHITE,859451,0.159531104895566,Caucasian/White
2021-02-25,ASIAN,13893,0.11432257926484812,Asian
2021-02-25,BLACK OR AFRICAN AMERICAN,86607,0.07441371867180467,Black/AfAm
2021-02-25,OTHER/MULTIRACIAL,121589,0.44780769939909454,OTHER/MULTIRACIAL
2021-02-25,UNKNOWN,131341,0,UNKNOWN
2021-02-25,WHITE,892174,0.1656051409319399,Caucasian/White
2021-02-26,ASIAN,14462,0.11900476076644595,Asian
2021-02-26,BLACK OR AFRICAN AMERICAN,92637,0.07959476320158844,Black/AfAm
2021-02-26,OTHER/MULTIRACIAL,127488,0.46953349382749887,OTHER/MULTIRACIAL
2021-02-26,UNKNOWN,134979,0,UNKNOWN
2021-02-26,WHITE,935043,0.17356247524857696,Caucasian/White
2021-02-27,ASIAN,15056,0.12389266201767461,Asian
2021-02-27,BLACK OR AFRICAN AMERICAN,97665,0.083914877943836,Black/AfAm
2021-02-27,OTHER/MULTIRACIAL,131690,0.4850093012843823,OTHER/MULTIRACIAL
2021-02-27,UNKNOWN,135849,0,UNKNOWN
2021-02-27,WHITE,967611,0.17960774021916723,Caucasian/White
2021-02-28,ASIAN,15446,0.12710189011191567,Asian
2021-02-28,BLACK OR AFRICAN AMERICAN,101127,0.08688946768879642,Black/AfAm
2021-02-28,OTHER/MULTIRACIAL,134417,0.4950527393935972,OTHER/MULTIRACIAL
2021-02-28,UNKNOWN,136796,0,UNKNOWN
2021-02-28,WHITE,981099,0.1821113798016814,Caucasian/White
2021-03-01,ASIAN,15749,0.12959521347744138,Asian
2021-03-01,BLACK OR AFRICAN AMERICAN,103977,0.0893382200784952,Black/AfAm
